id,title,body,department,sentiment
1,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
2,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
3,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
4,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
5,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
6,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
7,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
8,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
9,Ristorante deludente,"Poca scelta a colazione, molti prodotti confezionati. Check-in veloce ma la stanza aveva qualche problema.",F&B,neg
10,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
11,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
12,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
13,Pulizia eccellente,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
14,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
15,Deluso dalla pulizia,"Macchie sulle lenzuola e asciugamani non cambiati. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
16,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,neg
17,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
18,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
19,Pulizia eccellente,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
20,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
21,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
22,Camera sporca,Macchie sulle lenzuola e asciugamani non i cambiati.,Housekeeping,neg
23,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
24,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
25,Accoglienza perfetta,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
26,Pulizia eccellente,"La camera era quasi sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
27,Ristorante eccellente,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
28,Deluso dalla pulizia,"i camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
29,Ottimo buffet,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
30,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Check-in veloce ma la stanza aveva qualche problema.",F&B,neg
31,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
32,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
33,Staff gentilissimo,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
34,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
35,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
36,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
37,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
38,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
39,Pulizia insufficiente,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
40,Camera sporca,Ho trovato il polvere sui mobili e capelli nel bagno.,Housekeeping,neg
41,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
42,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
43,Camera sporca,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
44,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
45,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
46,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
47,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
48,Colazione fantastica,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
49,Cibo freddo,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
50,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
51,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
52,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
53,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
54,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
55,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
56,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
57,Ristorante deludente,Cibo servito tiepido e poco saporito.,F&B,neg
58,Accoglienza perfetta,"Reception è aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
59,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
60,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
61,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
62,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,pos
63,Pulizia insufficiente,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
64,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
65,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
66,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
67,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
68,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
69,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
70,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
71,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
72,Check-in veloce,Personale della reception molto disponibile e sorridente. Colazione buona ma il bagno non era perfetto.,Reception,pos
73,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
74,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
75,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
76,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
77,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
78,Ristorante eccellente,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
79,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
80,Stanza trascurata,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
81,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
82,Pulizia insufficiente,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
83,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
84,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno. Colazione buona ma il bagno non era perfetto.",Housekeeping,pos
85,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
86,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
87,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
88,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
89,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
90,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
91,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
92,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
93,Pulizia insufficiente,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
94,Ristorante eccellente,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
95,Ristorante eccellente,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
96,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
97,Check-in lunghissimo,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
98,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
99,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
100,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
101,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
102,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato. Colazione buona ma il bagno non era perfetto.,F&B,pos
103,Pulizia insufficiente,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
104,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
